Number,Left context,Match,Match2,Right context,Link,Query
42,IJBCTBHJO organum sentiendi; Chald. et,Syr. ITJt,,"tsuth • auscultare, attendere","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=517&zoom=width&showposition=0.548,0.686&highlight=1287,993,46,33#Linde",Syr '[.]' '[^[:digit:]].*'
43,; Graec. devai; rigalio;,Syr. J,,<"2? effudit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=560&zoom=width&showposition=0.300,0.403&highlight=694,1892,45,32#Linde",Syr '[.]' '[^[:digit:]].*'
44,"zilęco, ręiflm ; Chald. et",Syr. jnn,,"tera, diruit, 1HD","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.089,0.677&highlight=192,1018,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
45,; ( cf. Chald. et,Syr. Jsp,,"!p*),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3326&zoom=width&showposition=0.185,0.857&highlight=424,440,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
46,IIojbCKaro 3Ha- mirb coBtrb. (,Syr. Km,,admonuit; Arab. corroboravit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2926&zoom=width&showposition=0.659,0.622&highlight=1580,1201,38,33#Linde",Syr '[.]' '[^[:digit:]].*'
47,"się, pa4tirie staranność; cf.",Syr. Km,,"admo- nuit, cf","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2929&zoom=width&showposition=0.803,0.132&highlight=1904,2767,39,31#Linde",Syr '[.]' '[^[:digit:]].*'
50,"^e, Sute; Chald.",Syr. m,,; Arab. - >,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.722,0.485&highlight=1701,1628,39,32#Linde",Syr '[.]' '[^[:digit:]].*'
51,seche j Hebr. nnS zichech ;,Syr. M,,"-® zecha , siceus","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3406&zoom=width&showposition=0.116,0.448&highlight=259,1749,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
52,". Żar , żartwa, cf.",Syr. mc,,? scbara; Cliald.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4827&zoom=width&showposition=0.812,0.510&highlight=1926,1550,36,31#Linde",Syr '[.]' '[^[:digit:]].*'
53,"Sorab. 1. hara rixa,",Syr. mn,,"litigavit, Hebr. ""","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=980&zoom=width&showposition=0.747,0.631&highlight=1773,1168,36,29#Linde",Syr '[.]' '[^[:digit:]].*'
55,Eccl. 0Elve> (Graec.,Syr. N,,^N ela; Aethiop,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=143&zoom=width&showposition=0.825,0.510&highlight=1942,1555,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
56,thurn; Chald. irn tera;,Syr. N,,"in taro; Arab,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=682&zoom=width&showposition=0.724,0.345&highlight=1713,2084,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
57,". Graec. tfAaco, Olaum ;",Syr. nbu,,"contudit, cf. tłoczyć","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3584&zoom=width&showposition=0.823,0.539&highlight=1939,1452,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
58,fila extendit; Hebr. txtendit;,Syr. nen,,; Cer. 3(,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1838&zoom=width&showposition=0.109,0.241&highlight=245,2411,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
59,"ter- minus; Chald. ,",Syr. nEtt,,"mensut est, Arab.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1612&zoom=width&showposition=0.219,0.133&highlight=508,2756,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
60,Boss. HcnpaatHHTbca; (cf.,Syr. NID,,"sra, foetuit; Chald","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.358,0.286&highlight=838,2268,40,33#Linde",Syr '[.]' '[^[:digit:]].*'
61,"Chald. niD serach, meluit\",Syr. NID,,"cacavitr , Arab. Nin","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.315,0.299&highlight=736,2225,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
62,", 4HK0BHHKA, y4HB.icirie, cf.",Syr. nin,,stupere). I.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=750&zoom=width&showposition=0.936,0.741&highlight=2222,816,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
63,cf. Cha Id. mn;,Syr. NIN,,; Graec. ti-,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=753&zoom=width&showposition=0.317,0.822&highlight=733,557,34,28#Linde",Syr '[.]' '[^[:digit:]].*'
64,fmlfe! Boh. reta! (,Syr. Nm,,admonuit; Arab. t3U,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2937&zoom=width&showposition=0.419,0.302&highlight=983,2222,37,33#Linde",Syr '[.]' '[^[:digit:]].*'
65,"dojnica, dojka, skopiec cf.",Syr. N:pin,,"tukana vasa, Talmud.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=618&zoom=width&showposition=0.933,0.655&highlight=2218,1090,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
66,"reben, Sorab haruju rixor; (",Syr. nvi,,litigaoit; Hebr. ","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=981&zoom=width&showposition=0.738,0.808&highlight=1742,602,34,31#Linde",Syr '[.]' '[^[:digit:]].*'
67,"księstwo, ii. Piwo Opawskie.",Syr. OPCHAĆ,,", f. opcha act","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2084&zoom=width&showposition=0.635,0.483&highlight=1511,1634,38,31#Linde",Syr '[.]' '[^[:digit:]].*'
70,; (Carn. vękam clamo;,Syr. pheka,,", clamando flevit).","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=200&zoom=width&showposition=0.606,0.479&highlight=1425,1650,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
71,"Hebr. an , nen ibi;",Syr. pn,,"teman, ibi; Hebr","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3553&zoom=width&showposition=0.072,0.187&highlight=151,2583,39,32#Linde",Syr '[.]' '[^[:digit:]].*'
72,- czyna ruszać i 'rość.,Syr. podnosić,,"się, roattyfen, flufftei","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2975&zoom=width&showposition=0.235,0.567&highlight=547,1377,38,31#Linde",Syr '[.]' '[^[:digit:]].*'
74,uczo- ne. 1 Leop.,Syr. pr,,. (wypada ztąd),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2574&zoom=width&showposition=0.633,0.709&highlight=1493,914,39,32#Linde",Syr '[.]' '[^[:digit:]].*'
75,", moc i sku- tek.",Syr. praef,,". P0BUCZN1EĆ nijak, dok","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2345&zoom=width&showposition=0.550,0.636&highlight=1309,1159,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
76,"vi, ź., ślinogorz.",Syr. qu,,. v.; sed,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3216&zoom=width&showposition=0.355,0.769&highlight=831,720,41,35#Linde",Syr '[.]' '[^[:digit:]].*'
77,już l.adto temi fraszkami czas zatrudniam.,Syr. Qu,,. 18. — §,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4605&zoom=width&showposition=0.439,0.676&highlight=1030,1019,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
78,- ców czci pogrzebowćj liszyć nakazało.,Syr. Quin,,. 25Ó. Liszyć się,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1470&zoom=width&showposition=0.835,0.720&highlight=1978,880,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
79,. schesch; Sanscr. shash ;,Syr. r,,®; Arab. no,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.862,0.697&highlight=2023,952,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
80,"Oczy w słup poszłe, zdrętwiałe.",Syr. Reg,,. Ty zamkniesz oczy me,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2053&zoom=width&showposition=0.297,0.774&highlight=702,711,38,31#Linde",Syr '[.]' '[^[:digit:]].*'
81,. b) Paprzyska na głowie.,Syr. Reg,,. n. p .,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2207&zoom=width&showposition=0.759,0.116&highlight=1812,2828,36,29#Linde",Syr '[.]' '[^[:digit:]].*'
82,328. Kwartana albo febra czwartodniowa.,Syr. Rej,,. Czwartodzienna. Mac.z .,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=522&zoom=width&showposition=0.215,0.536&highlight=491,1467,46,32#Linde",Syr '[.]' '[^[:digit:]].*'
83,wszystkie żywszy gałeczke gliny w rozszczepienie.,Syr. Rej,,. Ross. nieczystości z,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=789&zoom=width&showposition=0.811,0.589&highlight=1903,1302,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
84,428. złote żyłki w stolcu.,Syr. Rej,,". , Bosn. scjugli","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1002&zoom=width&showposition=0.400,0.728&highlight=941,859,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
85,każde- godniowa (każdodniowa).,Syr. Rej,,. Zimnica z gorączką każdegodniową,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1166&zoom=width&showposition=0.290,0.337&highlight=674,2102,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
86,"i, febra czwartodnio- wa.",Syr. Rej,,. gdy co czwarty dzień,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1387&zoom=width&showposition=0.548,0.486&highlight=1287,1632,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
