dziel,;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=731&highlight=2307,3002,716,30;*DZIEL — *DZIEL adv.,;*⟦DZIEL — DZIEL⟧ adv.
dwojko;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=697&highlight=2582,2340,1463,37; [DWOJKO, Dwojgo ob. Dwoje, Gen. dwojga.];ob. Dwoje, Gen. dwojga.
dwojgo ;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=697&highlight=2582,2340,1463,37; [DWOJKO, Dwojgo ob. Dwoje, Gen. dwojga.];ob. Dwoje, Gen. dwojga.
drążyć;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=660&highlight=2466,2953,1646,73; [DRĄŻYĆ, DRĄŻYCIEL, DRĄŻYDŁO ob. Drożyć,];ob. Drożyć,
drążyciel;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=660&highlight=2466,2953,1646,73; [DRĄŻYĆ, DRĄŻYCIEL, DRĄŻYDŁO ob. Drożyć,];ob. Drożyć,
drążydło;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=660&highlight=2466,2953,1646,73; [DRĄŻYĆ, DRĄŻYCIEL, DRĄŻYDŁO ob. Drożyć,];ob. Drożyć,
chrobry;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=393&highlight=2356,1080,1757,66; [*CHROBRY, *CHRABRY, *CHOBRY, *CHABRY0, a. e,];*~ , a. e,
chrabry;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=393&highlight=2356,1080,1757,66; [*CHROBRY, *CHRABRY, *CHOBRY, *CHABRY, a. e,];*~ , a. e,
chobry,;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=393&highlight=2356,1080,1757,66; [*CHROBRY, *CHRABRY, *CHOBRY, *CHABRY, a. e,];*~ , a. e,
chabry,;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=393&highlight=2356,1080,1757,66; [*CHROBRY, *CHRABRY, *CHOBRY, *CHABRY, a. e,];*~ , a. e,
na;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=216&highlight=2905,1899,439,86; [na BEZBOK,];⟦na BEZBOK⟧
bezbok;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=216&highlight=2905,1899,439,86; [na BEZBOK,];⟦na BEZBOK⟧
na bezbok;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=216&highlight=2905,1899,439,86; [na BEZBOK,];⟦na BEZBOK⟧
da;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/01/index.djvu?djvuopts&page=531&zoom=width&showposition=0.256,0.404&highlight=240,2460,395,90; [DA DA DA];⟦DA DA DA⟧
da da da;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/01/index.djvu?djvuopts&page=531&zoom=width&showposition=0.256,0.404&highlight=240,2460,395,90; [DA DA DA];⟦DA DA DA⟧
doszedł;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=641&highlight=2331,4944,2093,147; [DOSZEDŁ, DOSZŁA, DOSZŁY, DOSZŁOŚĆ, *DOSZTO, ob. Dójść.];ob. Dójść.
